MD5;ROM Serial;Name (No-Intro);is_synthetic
C663691B1ECA7EEEB501C4D00B4B186F;CGB-BBZP-0;Dragon Ball Z - Legendary Super Warriors (Europe);True
AC46BC779E1E844674DE1D4C13D06F96;CGB-BBZE-0;Dragon Ball Z - Legendary Super Warriors (USA);False
FFA003FA747731A9FD547260598538CB;CGB-BBZF-0;Dragon Ball Z - Les Guerriers Legendaires (France);True
0C6A0F2ADD131CA4AFD24763FE3C3A04;DMG-BDAE-0;Dragon Dance (USA) (SGB Enhanced) (GB Compatible);True
5045139EB57B9D6CDFA1366F473A1E4C;DMG-AEDJ-0;Dragon Quest I & II (Japan) (SGB Enhanced) (GB Compatible);True
729934DDB7AA39779A456523A81B4A45;CGB-BD3J-0;Dragon Quest III - Soshite Densetsu e... (Japan);True
08BCA718C62E3C2870A2DF107FC0A562;DMG-AWQD-0;Dragon Quest Monsters (Germany) (SGB Enhanced) (GB Compatible);True
5254EA1935C43057358D2EFBA26C60C8;DMG-ADQJ-0;Dragon Quest Monsters - Terry no Wonderland (Japan) (SGB Enhanced) (GB Compatible);False
B28C999D1B43E8E39998827FF39965CC;DMG-ADQJ-1;Dragon Quest Monsters - Terry no Wonderland (Japan) (Rev A) (SGB Enhanced) (GB Compatible);False
F47EDC51D53AE8F416898B80BD3022A1;DMG-BQIJ-0;Dragon Quest Monsters 2 - Maruta no Fushigi na Kagi - Iru no Bouken (Japan) (SGB Enhanced) (GB Compatible);True
979EB4FD473C344CB2CFC6EA4211CA5A;DMG-BQLJ-0;Dragon Quest Monsters 2 - Maruta no Fushigi na Kagi - Ruka no Tabidachi (Japan) (SGB Enhanced) (GB Compatible);True
27791FF8BB7993EBBA8C8F2CF353A6B3;CGB-BDWE-0;Dragon Tales - Dragon Adventures (USA);False
834FB201A446065C06E34F192F8586D0;CGB-BDZP-0;Dragon Tales - Dragon Wings (Europe);True
9A43179573D212B528D8F74DA044511C;CGB-BDZE-0;Dragon Tales - Dragon Wings (USA);True
C3987A4D734C37B7D8324F654A45DE70;DMG-AEDE-0;Dragon Warrior I & II (USA) (SGB Enhanced) (GB Compatible);True
B74B6132326BAFCD75E415DDCD9A2932;CGB-BD3E-0;Dragon Warrior III (USA);True
1CA6579359F21D8E27B446F865BF6B83;DMG-AWQP-0;Dragon Warrior Monsters (USA, Europe) (SGB Enhanced) (GB Compatible);False
F71AC6AC4BB335F59BFD2B594D47AB49;DMG-BQLE-0;Dragon Warrior Monsters 2 - Cobi's Journey (USA) (SGB Enhanced) (GB Compatible);True
8E79DCDEE0E15EF069B3F376A0FEE37D;DMG-BQIE-0;Dragon Warrior Monsters 2 - Tara's Adventure (USA) (SGB Enhanced) (GB Compatible);True
947F96CFD5BAB7A03EC2F3FC0AE9238D;CGB-BDXP-0;Dragon's Lair (USA, Europe) (En,Ja,Fr,De,Es,Zh);False
413E1ACD7847D628364163EB2C97CECD;CGB-BDRE-0;Driver - You are the Wheelman (USA) (En,Fr,De,Es,It);True
B3142AAE557BC4E04E2F0F740FAE9577;DMG-AD4P-0;Dropzone (Europe) (GB Compatible);False
48B5FEA61742D75E98782803D14871F3;DMG-BBDJ-0;DT - Lords of Genomes (Japan) (SGB Enhanced) (GB Compatible);False
B25025224EB338963FC9C0FEE91F2C39;CGB-ADIP-0;Duke Nukem (Europe) (En,Fr,De,Es,It);True
B2D3713267C9E21B3DAE3CB5F437FCCD;CGB-ADIE-0;Duke Nukem (USA) (En,Fr,De,Es,It);True
