MD5;Name (No-Intro);Size;Dump Type;Good Dump;Date;Datter;Cart Serial;PCB;ROM Serial;Stamp
C75BF50B9FEC4E89CED9A2BDFBEB4245;Army Men (USA, Europe) (En,Fr,De);1048576;Trusted Dump;TRUE;07 09 2010;Tauwasser;CGB-AVCP-NOE;DMG-A07-01;CGB-AVCP-0;;
C48DE261BB5111681BD77CA5F0D68A1B;Army Men - Air Combat (USA, Europe) (En,Fr,De);1048576;Trusted Dump;TRUE;18 09 2012;BigFred;CGB-BATP-EUR;DMG-A07-01;CGB-BATP-0;;
3DC508D4DA71F2E89CA63B42899741A4;Army Men - Sarge's Heroes 2 (USA, Europe) (En,Fr,De);1048576;Trusted Dump;TRUE;07 09 2010;Tauwasser;CGB-BSHP-EUR;DMG-A07-01;CGB-BSHP-0;;
66A744231189D65DB54AA4D670975C5A;Army Men 2 (USA, Europe) (En,Fr,De);1048576;Trusted Dump;TRUE;30 10 2012;BigFred;CGB-BA2P-EUR;DMG-A07-01;CGB-BA2P-0;;
3D630CB2FF52E7FEDFCA6C938B82FA24;Arthur's Absolutely Fun Day! (USA);1048576;Third Party;TRUE;01 01 1990;root;CGB-BFDE-USA;;;;
6EFC4C27D06564F9000667C029AD02A3;Asterix & Obelix (Europe) (En,Fr,De,Es);1048576;Third Party;TRUE;01 01 1990;root;CGB-AOLP-FAH;;;;
B7D6335B8D3A34B15CE0B631BB9731A2;Asterix & Obelix vs Caesar (Europe) (En,Fr,De,Es,Nl) (GB Compatible);1048576;Trusted Dump;TRUE;07 09 2010;Tauwasser;DMG-BAOP-NOE;DMG-A07-01;DMG-BAOP-0;;
1FAA6E2A7EC92B95CE32FA2682038B9B;Asterix - Search for Dogmatix (Europe) (En,Fr,De,Es,It,Nl);1048576;Trusted Dump;TRUE;08 12 2012;BigFred;CGB-AA6P-ESP;;;;
CFAC8209D5119235F678303DFB3CC0F2;Asteroids (USA, Europe) (GB Compatible);1048576;Trusted Dump;TRUE;01 01 1990;root;DMG-AARP-UKV;;;;
E24141ED6FC94B149BBF43B4BD9658E8;Atlantis - The Lost Empire (Europe) (En,Es,It);2097152;Trusted Dump;TRUE;07 09 2010;root;CGB-BABX-EUR;;CGB-BABX-0;;
C046F62BB3BAF1F8398F5E3FB93DD82A;Atlantis - The Lost Empire (Europe) (Fr,De,Nl);2097152;Trusted Dump;TRUE;07 09 2010;root;CGB-BABY-EUU;;CGB-BABY-0;;
5AAB47CF957C82C969BBC0A93232F883;Atlantis - The Lost Empire (USA, Europe);2097152;Trusted Dump;TRUE;01 01 1990;root;CGB-BABP-UKV;;;;
